highway,km,buraco,remendo,trinca,placa,drenagem
458,98.0,0,0,413,52,102
458,99.0,0,561,2448,51,612
458,100.0,0,102,2499,153,510
458,101.0,0,357,2448,306,459
458,102.0,0,816,2499,306,51
458,103.0,0,1326,2448,102,51
458,104.0,0,51,2601,51,408
458,105.0,0,51,2448,51,102
458,106.0,0,918,2499,51,153
458,107.0,0,1224,2448,51,306
458,108.0,0,0,2550,255,969
458,109.0,0,255,2550,459,561
458,110.0,0,0,2499,306,561
458,111.0,0,510,2448,153,306
458,112.0,0,51,2448,306,561
458,113.0,0,51,2397,0,1734
458,114.0,0,102,2499,510,1173
458,115.0,0,0,2499,102,969
458,116.0,0,102,2550,204,1224
458,117.0,0,0,2499,204,1020
458,118.0,0,51,2448,0,1071
458,119.0,0,102,2448,102,306
458,120.0,0,51,2448,204,408
458,121.0,0,0,2499,51,357
458,122.0,0,102,2499,459,867
458,123.0,0,51,2448,153,408
458,124.0,0,357,2448,51,1275
458,125.0,0,255,2448,102,969
458,126.0,0,0,2499,51,102
458,127.0,0,102,2448,102,51
458,128.0,0,0,2499,51,102
458,129.0,0,51,2448,357,306
458,130.0,0,102,2499,51,969
458,131.0,0,51,2448,51,102
458,132.0,0,51,2499,153,663
458,133.0,0,51,2448,357,1071
458,134.0,0,51,2550,255,255
458,135.0,0,51,2499,255,306
458,136.0,0,204,2499,357,153
458,137.0,0,561,2499,102,510
458,138.0,0,408,2499,408,561
458,139.0,0,102,2550,51,306
458,140.0,0,204,2448,306,1020
458,141.0,0,867,2448,102,153
458,142.0,0,408,2550,663,1122
458,143.0,0,255,2499,153,1275
458,144.0,0,561,2448,459,969
458,145.0,0,102,2397,255,1581
